Program Time [s],data 0
106.774,252
106.777,252
106.781,256
106.785,252
106.789,574
106.793,256
106.797,252
106.801,252
106.805,256
106.809,256
106.813,252
106.817,252
106.821,252
106.825,252
106.828,252
106.833,252
106.836,256
106.84,252
106.844,252
106.848,252
106.852,252
106.856,252
106.86,252
106.864,250
106.868,252
106.872,252
106.876,256
106.88,252
106.884,252
106.888,252
106.892,252
106.896,252
106.9,252
106.904,256
106.908,252
106.912,262
106.916,256
106.919,252
106.923,258
106.927,252
106.931,252
106.935,258
106.939,258
106.943,252
106.947,256
106.951,258
106.955,262
106.959,252
106.963,252
106.967,258
106.971,252
106.975,256
106.978,252
106.982,252
106.986,252
106.99,252
106.994,574
106.998,252
107.002,256
107.006,252
107.01,252
107.014,256
107.018,256
107.022,252
107.026,252
107.03,252
107.034,256
107.038,256
107.042,252
107.046,256
107.05,252
107.054,256
107.058,252
107.062,256
107.066,256
107.07,256
107.074,252
107.078,258
107.082,256
107.086,256
107.09,252
107.094,252
107.098,252
107.102,252
107.105,252
107.109,256
107.113,252
107.117,250
107.121,252
107.125,256
107.129,252
107.133,252
107.137,252
107.141,252
107.145,256
107.149,256
107.153,256
107.157,252
107.16,252
107.164,252
107.168,252
107.173,252
107.177,252
107.181,252
107.184,252
107.188,256
107.192,256
107.196,252
107.2,560
107.205,252
107.208,250
107.212,252
107.216,256
107.22,256
107.224,252
107.228,256
107.232,256
107.236,256
107.24,252
107.244,258
107.247,252
107.251,252
107.255,262
107.259,258
107.263,252
107.267,258
107.271,258
107.275,252
107.279,256
107.283,258
107.287,262
107.291,256
107.295,256
107.299,258
107.303,256
107.307,256
107.311,256
107.315,262
107.319,252
107.323,256
107.327,256
107.331,258
107.335,252
107.339,256
107.343,262
107.346,252
107.35,256
107.354,256
107.359,258
107.363,252
107.367,252
107.371,252
107.374,252
107.378,252
107.382,256
107.387,256
107.391,252
107.395,252
107.398,252
107.402,584
107.406,564
107.41,252
107.414,252
107.418,252
107.422,256
107.426,252
107.43,252
107.434,252
107.438,252
107.442,252
107.446,252
107.45,256
107.453,252
107.458,252
107.461,252
107.465,252
107.469,252
107.473,256
107.477,252
107.481,252
107.485,252
107.489,252
107.493,256
107.497,252
107.501,256
107.505,252
107.508,252
107.512,252
107.516,252
107.52,256
107.524,252
107.528,252
107.532,252
107.536,252
107.54,252
107.544,252
107.548,252
107.552,252
107.556,252
107.56,256
107.564,258
107.568,256
107.572,256
107.576,258
107.58,256
107.584,256
107.587,258
107.591,262
107.595,256
107.599,258
107.603,262
