Program Time [s],data 0
208942,252
208946,252
208.95,252
208954,252
208958,252
208962,252
208966,252
208.97,252
208974,250
208978,252
208982,570
208986,252
208.99,252
208994,252
208998,252
209002,252
209006,256
209.01,250
209013,252
209017,252
209021,252
209025,252
209029,252
209033,256
209037,256
209041,252
209045,252
209049,256
209052,252
209056,252
209.06,256
209064,252
209068,252
209072,252
209076,256
209.08,252
209084,252
209088,252
209092,252
209096,252
209.1,250
209104,252
209107,252
209112,252
209115,256
209119,256
209123,252
209127,250
209131,252
209135,252
209139,250
209143,252
209147,256
209151,256
209155,250
209158,256
209162,252
209166,256
209.17,252
209174,252
209179,256
209183,252
209186,580
209.19,256
209194,252
209198,256
209202,250
209206,252
209211,252
209214,252
209218,252
209222,252
209226,256
209.23,250
209234,252
209238,252
209242,252
209246,252
209.25,252
209254,252
209257,256
209261,252
209265,252
209269,256
209273,252
209277,252
209281,252
209285,252
209289,252
209293,252
209297,256
209301,252
209305,252
209309,252
209313,252
209316,252
209.32,258
209324,252
209328,252
209332,252
209336,252
209.34,256
209344,252
209348,252
209352,258
209356,252
209359,252
209363,252
209367,256
209371,256
209375,252
209379,252
209383,252
209387,252
209391,574
209395,256
209399,252
209403,252
209407,252
209411,256
209414,252
209418,252
209422,252
209426,252
209.43,252
209434,250
209438,256
209442,252
209446,252
209.45,252
209454,256
209457,252
209461,252
209465,252
209469,256
209473,252
209477,252
209481,256
209485,252
209489,252
209493,252
209497,252
209501,252
209505,258
209509,256
209512,256
209516,252
209.52,252
209524,252
209528,252
209532,256
209536,252
209.54,256
209544,252
209548,252
209552,324
209555,322
209559,318
209563,810
209567,646
209572,574
209576,574
209.58,574
209584,584
209588,580
209592,576
209596,574
209599,590
209604,580
209608,576
209611,576
209615,576
209619,590
209623,252
209627,252
209631,252
209635,256
209639,252
209643,252
209647,252
209651,252
209655,252
209659,256
209662,252
209666,256
209.67,252
209674,252
209678,256
209682,252
209686,252
209.69,258
209694,252
209698,252
209702,252
209706,256
209.71,256
209714,252
209717,252
209721,252
209725,252
209729,252
209733,250
209737,252
209741,252
209745,252
209749,252
209753,256
209757,252
209761,252
209765,256
209769,252
209773,256
209777,252
209781,252
209785,256
209789,256
209792,252
209796,252
209.8,576
209804,602
209808,574
209812,574
209816,576
209.82,576
209824,574
209828,580
209832,576
209836,576
209.84,574
209844,576
209848,576
209852,576
209856,612
209.86,576
209864,256
209867,252
209871,256
209875,256
209879,252
209883,256
209887,252
209891,252
209895,256
209899,252
209903,252
209907,252
209911,252
209915,252
209919,252
209923,256
209927,256
209931,252
209935,252
209938,252
209942,252
209946,252
209.95,252
209954,256
209958,252
209962,252
209967,250
209.97,256
209974,252
209978,252
209983,252
209987,252
209991,252
209995,250
209999,252
210003,252
210007,586
210.01,566
210014,256
210018,252
210022,256
210026,252
