Program Time [s],data 0
59.5726,252
59.5766,250
59.5803,256
59.5843,252
59.5882,258
59.592,258
59.596,258
59.5999,256
59.6038,250
59.6077,250
59.6118,250
59.6156,256
59.6195,258
59.6235,258
59.6275,252
59.6316,252
59.636,252
59.6399,250
59.6438,258
59.6479,262
59.6517,258
59.6559,252
59.6598,256
59.6637,256
59.6681,250
59.6721,262
59.676,256
59.6799,256
59.6838,250
59.6877,252
59.6917,252
59.6956,252
59.6995,258
59.7035,258
59.7075,256
59.7114,250
59.7151,252
59.719,252
59.723,252
59.7268,258
59.7308,262
59.7347,258
59.7386,252
59.7425,256
59.7465,256
59.7504,252
59.7543,258
59.7583,596
59.7622,458
59.7661,252
59.7701,252
59.774,252
59.7779,252
59.7817,256
59.7857,262
59.7903,256
59.7941,250
59.798,252
59.8021,250
59.8061,256
59.81,258
59.8137,256
59.8176,258
59.8218,250
59.8258,250
59.8297,250
59.8335,250
59.8376,258
59.8415,256
59.8454,258
59.8493,252
59.8533,256
59.8572,252
59.8611,252
59.865,258
59.8689,256
59.8729,258
59.8768,250
59.8809,252
59.8846,252
59.8886,250
59.8926,258
59.8965,256
59.9004,258
59.9042,252
59.9081,256
59.912,252
59.9159,252
59.9199,258
59.9239,258
59.9277,258
59.9316,252
59.9355,250
59.9396,252
59.944,256
59.9479,256
59.9517,258
59.9558,256
59.9596,252
59.9635,566
59.9674,292
59.9715,250
59.9755,256
59.9793,256
59.9832,256
59.9873,252
59.9911,256
59.9951,250
59.9989,256
60.0029,258
60.0068,262
60.0107,256
60.0146,250
60.0186,252
60.0225,252
60.0264,252
60.0304,256
60.0343,324
60.0381,328
60.0422,324
60.046,646
60.05,574
60.0539,580
60.0578,576
60.0616,584
60.0655,576
60.0696,574
60.0736,564
60.0776,616
60.0816,590
60.0853,584
60.0893,584
60.0932,566
60.0978,566
60.1018,256
60.1057,256
60.1098,252
60.1136,256
60.1177,262
60.1215,258
60.1255,252
60.1296,252
60.1335,252
60.1374,258
60.1414,256
60.1453,256
60.1492,258
60.153,250
60.1569,252
60.1608,250
60.1648,256
60.1687,574
60.1727,766
60.1768,560
60.1809,570
60.1847,580
60.1887,594
60.1926,584
60.1965,584
60.2004,586
60.2044,584
60.2083,590
60.2121,570
60.216,580
60.22,576
60.2238,610
60.2278,580
60.2317,262
60.2356,252
60.2396,250
60.2435,252
60.2474,258
60.2519,258
60.2558,256
60.2597,258
60.2636,252
60.2678,252
60.2721,252
60.276,258
60.2798,256
60.2844,256
60.2882,258
60.2922,256
60.296,256
60.3,252
60.3039,258
60.308,258
60.3119,258
60.3157,256
60.3197,252
60.3236,252
60.3276,256
60.3313,256
60.3351,256
60.3392,258
60.3432,256
60.347,252
60.3509,252
60.3548,252
60.3589,256
60.3627,258
60.3667,258
60.3706,276
60.3746,576
60.3786,252
60.3825,250
60.3865,258
60.3904,258
60.3942,262
60.3982,262
60.4021,252
60.4066,252
60.4105,252
60.4147,258
60.4185,256
60.4227,256
60.4267,252
60.4305,252
