Program Time [s],data 0
73.6014,242
73.6053,252
73.61,252
73.6139,246
73.6177,236
73.6218,236
73.6256,256
73.6295,256
73.6334,242
73.6373,236
73.6419,246
73.6458,252
73.6498,570
73.6537,240
73.6577,242
73.6616,242
73.6655,250
73.6694,250
73.6733,252
73.6773,242
73.681,240
73.685,242
73.6889,258
73.6929,246
73.6974,236
73.7012,242
73.7051,252
73.7091,250
73.713,246
73.7169,242
73.7208,242
73.7247,246
73.7287,252
73.7326,250
73.7366,242
73.7402,236
73.7443,246
73.7482,256
73.7521,256
73.756,236
73.76,236
73.7645,252
73.7685,258
73.7723,360
73.7764,308
73.7805,312
73.7842,328
73.7881,638
73.792,576
73.7964,564
73.8003,570
73.8042,566
73.808,576
73.8122,574
73.816,564
73.8199,560
73.8239,570
73.8278,584
73.8317,576
73.8356,848
73.8395,566
73.8437,250
73.8478,250
73.8515,570
73.8559,564
73.8599,236
73.8639,242
73.8677,258
73.8716,256
73.8755,240
73.8796,236
73.8834,250
73.8872,256
73.8911,250
73.8951,236
73.8989,242
73.9029,246
73.9068,250
73.9108,252
73.9147,246
73.9191,246
73.9231,242
73.927,252
73.9309,256
73.9349,236
73.9387,236
73.9427,246
73.9467,256
73.9511,250
73.955,236
73.959,246
73.9628,246
73.9668,250
73.9708,250
73.9747,242
73.9786,242
73.9825,236
73.9864,252
73.9904,256
73.9943,242
73.9982,236
74.0027,246
74.0066,256
74.0105,256
74.0145,236
74.0184,246
74.0222,242
74.0263,252
74.0302,250
74.0339,250
74.0381,242
74.0419,240
74.0457,250
74.0498,256
74.0538,246
74.0577,560
74.0617,626
74.0656,580
74.0694,580
74.0738,560
74.078,566
74.0819,570
74.086,574
74.09,574
74.094,576
74.0978,566
74.1018,560
74.106,564
74.11,594
74.1139,570
74.1178,558
74.1216,236
74.1255,256
74.1294,256
74.1334,242
74.1373,236
74.1413,242
74.1452,256
74.1491,250
74.1532,242
74.1571,242
74.1611,242
74.165,250
74.1689,256
74.1729,252
74.1768,236
74.1807,236
74.1845,256
74.1885,256
74.1923,242
74.1964,236
74.2004,242
74.2039,250
74.2081,250
74.2121,242
74.2158,240
74.2199,242
74.2237,242
74.2283,252
74.2322,252
74.2361,246
74.2398,236
74.2438,246
74.2478,256
74.2517,246
74.2556,236
74.2601,242
74.2641,570
74.2682,252
74.272,242
74.2759,242
74.2799,242
74.2838,242
74.2875,250
74.2915,252
74.2954,242
74.2993,236
74.3033,246
74.3077,256
74.3117,250
74.3156,240
74.3195,240
74.3234,252
74.3275,256
74.3313,246
74.3353,242
74.3391,242
74.3431,246
74.3472,252
74.3508,258
74.3547,242
74.3586,236
74.3627,242
74.3665,256
74.3704,256
74.3743,236
74.3783,236
74.3828,250
74.3868,256
74.3908,250
74.3947,240
74.3987,242
74.4026,250
