Program Time [s],data 0
14.1634,258
14.1673,262
14.1712,252
14.1752,252
14.1791,262
14.183,258
14.1869,276
14.1908,252
14.1947,262
14.1986,262
14.2026,256
14.2066,252
14.2105,258
14.2144,258
14.2186,252
14.2222,576
14.2262,266
14.2302,256
14.2343,252
14.2381,338
14.242,334
14.246,324
14.2499,810
14.254,612
14.2576,600
14.2623,576
14.2662,576
14.2701,584
14.2741,584
14.278,574
14.2817,576
14.2856,584
14.2896,580
14.2935,580
14.2974,580
14.3014,852
14.3054,584
14.3094,256
14.3132,256
14.3171,258
14.3211,262
14.3251,252
14.3289,258
14.3327,262
14.3367,256
14.3407,252
14.3451,262
14.3491,258
14.3529,252
14.3569,252
14.3608,262
14.3649,258
14.3686,252
14.3726,256
14.3765,262
14.3803,258
14.3849,252
14.3888,258
14.3931,258
14.397,258
14.4007,252
14.4049,258
14.4087,258
14.4126,256
14.4168,258
14.4212,262
14.4252,534
14.4291,564
14.4331,576
14.4369,584
14.4409,584
14.4447,576
14.4487,596
14.4526,584
14.4566,586
14.4605,576
14.4642,576
14.4683,584
14.4723,576
14.4761,574
14.48,580
14.4839,586
14.4879,394
14.4918,256
14.4957,262
14.4996,262
14.5036,252
14.5075,252
14.5115,258
14.5153,262
14.5193,256
14.5232,252
14.5271,258
14.5311,258
14.535,256
14.5399,256
14.5434,258
14.5475,256
14.551,252
14.555,258
14.5589,258
14.5629,256
14.5668,258
14.5709,258
14.5748,258
14.5788,258
14.5827,256
14.5866,258
14.5905,258
14.595,256
14.5989,256
14.6028,266
14.6066,262
14.6105,252
14.6144,258
14.6183,258
14.6228,262
14.6271,252
14.6309,586
14.6348,576
14.6386,252
14.6426,252
14.6465,258
14.6504,258
14.6544,252
14.6583,256
14.6622,258
14.6659,258
14.6699,252
14.6739,256
14.6778,258
14.6818,258
14.6857,256
14.6897,256
14.6941,258
14.698,258
14.702,256
14.7058,258
14.7098,266
14.7136,262
14.7176,252
14.7217,258
14.7261,262
14.7301,256
14.734,252
14.7379,258
14.7421,258
14.746,256
14.7499,256
14.7538,262
14.7576,258
14.7614,256
14.7654,252
14.7696,258
14.7734,258
14.7773,256
14.7814,256
14.7852,262
14.7891,252
14.7931,256
14.7968,258
14.8009,262
14.8047,256
14.8086,256
14.8126,258
14.8166,258
14.8205,256
14.8247,256
14.8286,258
14.8325,258
14.8365,574
14.8405,436
14.8445,258
14.8484,266
14.8524,252
14.8564,252
14.8603,258
14.8642,256
14.868,256
14.872,262
14.876,262
14.8804,252
14.8844,252
14.8884,258
14.8922,258
14.8962,256
14.9001,252
14.904,262
14.908,258
14.9117,256
14.9155,256
14.92,258
14.9241,262
14.9281,252
14.932,256
14.936,258
14.9399,258
14.9438,258
14.9479,258
14.9517,258
14.9557,256
14.9594,252
14.9634,258
14.9674,258
14.9712,256
14.9751,256
14.9791,258
14.9831,258
14.9871,252
14.9911,252
14.9949,258
14.9989,258
15.0028,252
15.0066,256
15.0105,258
15.0144,262
15.0182,252
15.0223,256
15.0261,258
15.03,252
15.0339,252
15.0379,258
15.0418,580
15.0457,262
15.0498,252
15.0538,258
15.0575,262
15.0614,256
15.0654,252
15.0694,258
15.0733,258
15.0771,252
15.0811,252
15.0851,262
15.089,262
15.0929,256
15.0968,252
15.1008,262
15.1047,258
15.1086,252
15.1126,252
15.1165,258
15.1205,262
15.1243,256
15.1282,258
15.1321,258
15.1362,256
15.1403,256
15.1441,262
15.148,258
15.1519,252
15.156,256
15.1599,262
15.1637,258
15.1677,252
15.1716,252
15.1756,262
15.1794,258
15.1835,256
15.1874,276
15.1913,258
15.1952,262
15.1992,256
15.203,252
15.2068,262
15.2107,258
15.2146,252
15.2186,258
15.2225,258
15.2265,258
15.2305,256
15.2345,256
15.2384,266
15.2429,256
15.2468,576
15.2508,258
15.2548,258
15.2587,252
15.2625,258
15.2664,262
15.2705,258
15.2749,252
15.2788,256
15.2826,258
15.2866,262
15.2906,256
